name,ring,quadrant,isNew,description
Test Technique,Adopt,Techniques,TRUE,<p>Test</p>
Windows 11 21H2,Assess,Platforms,TRUE,"<p>Enterprise support until October 8, 2024</p>"
Windows 10 21H2,Adopt,Platforms,TRUE,"<p>Enterprise support until October 8, 2024</p>"
Windows 10 21H1,Adopt,Platforms,FALSE,"<p>Enterprise support until December 13, 2022</p>"
Windows 10 20H2,Hold,Platforms,FALSE,"<p>Enterprise support until May 9, 2023</p>"
Windows 10 20H1,Hold,Platforms,FALSE,"<p>Enterprise support until December 14, 2021</p>"
Windows 10 19H2,Hold,Platforms,FALSE,"<p>Enterprise support until May 10, 2022</p>"
Intune,Assess,Tools,TRUE,<p>Replacement for GPO's and more</p>
Autopilot,Assess,Tools,TRUE,<p>Faster laptop rollout</p>
Windows Defender,Trial,Tools,TRUE,<p>Alternative to current AV</p>
Poly,Assess,Hardware Vendor,TRUE,<p>Audio visual options</p>
